2026-05-08 07:26:08 | INFO     | ========================================================================
2026-05-08 07:26:08 | INFO     | PATENT DATA PIPELINE — STARTUP
2026-05-08 07:26:08 | INFO     | ========================================================================
2026-05-08 07:26:08 | INFO     | Timestamp   : 2026-05-08 07:26:08
2026-05-08 07:26:08 | INFO     | OS          : Windows 11 (10.0.22631)
2026-05-08 07:26:08 | INFO     | Machine     : AMD64
2026-05-08 07:26:08 | INFO     | CPU         : Intel64 Family 6 Model 78 Stepping 3, GenuineIntel
2026-05-08 07:26:08 | INFO     | CPU Cores   : 2 physical / 4 logical
2026-05-08 07:26:08 | INFO     | Total RAM   : 25.64 GB
2026-05-08 07:26:08 | INFO     | Available   : 15.19 GB
2026-05-08 07:26:08 | INFO     | Python      : 3.13.7
2026-05-08 07:26:08 | INFO     | ========================================================================
2026-05-08 07:26:08 | INFO     | Connecting to: localhost:5111/patents
2026-05-08 07:26:08 | INFO     | Database connection established
2026-05-08 07:26:08 | INFO     | Applying schema.sql ...
2026-05-08 07:26:11 | INFO     |   ✓ schema.sql applied — all tables dropped and recreated

2026-05-08 07:26:11 | INFO     | [1/4] Reading clean_patents.csv ...
2026-05-08 07:30:09 | INFO     |       Read 9,454,161 rows | columns: ['patent_id', 'title', 'abstract', 'filing_date', 'year']
2026-05-08 07:43:56 | INFO     |     [patents] chunk  124/946 | rows 1,230,001–1,240,000 |  7.55s | CPU  16.7% | RAM  58.1%
2026-05-08 07:44:03 | INFO     |     [patents] chunk  125/946 | rows 1,240,001–1,250,000 |  6.49s | CPU   0.0% | RAM  58.2%
2026-05-08 07:44:10 | INFO     |     [patents] chunk  126/946 | rows 1,250,001–1,260,000 |  6.86s | CPU   0.0% | RAM  58.0%
2026-05-08 07:44:16 | INFO     |     [patents] chunk  127/946 | rows 1,260,001–1,270,000 |  6.41s | CPU   0.0% | RAM  58.1%
2026-05-08 07:44:23 | INFO     |     [patents] chunk  128/946 | rows 1,270,001–1,280,000 |  6.46s | CPU   9.1% | RAM  58.2%
2026-05-08 07:44:30 | INFO     |     [patents] chunk  129/946 | rows 1,280,001–1,290,000 |  6.80s | CPU  60.0% | RAM  58.2%
2026-05-08 07:44:36 | INFO     |     [patents] chunk  130/946 | rows 1,290,001–1,300,000 |  6.66s | CPU   0.0% | RAM  58.3%
2026-05-08 07:44:44 | INFO     |     [patents] chunk  131/946 | rows 1,300,001–1,310,000 |  7.34s | CPU   0.0% | RAM  57.4%
2026-05-08 07:44:51 | INFO     |     [patents] chunk  132/946 | rows 1,310,001–1,320,000 |  7.19s | CPU   0.0% | RAM  57.5%
2026-05-08 07:44:58 | INFO     |     [patents] chunk  133/946 | rows 1,320,001–1,330,000 |  6.47s | CPU   0.0% | RAM  57.4%
2026-05-08 07:45:04 | INFO     |     [patents] chunk  134/946 | rows 1,330,001–1,340,000 |  6.16s | CPU   0.0% | RAM  57.4%
2026-05-08 07:45:10 | INFO     |     [patents] chunk  135/946 | rows 1,340,001–1,350,000 |  6.49s | CPU   0.0% | RAM  57.5%
2026-05-08 07:45:17 | INFO     |     [patents] chunk  136/946 | rows 1,350,001–1,360,000 |  6.61s | CPU   0.0% | RAM  57.6%
2026-05-08 07:45:25 | INFO     |     [patents] chunk  137/946 | rows 1,360,001–1,370,000 |  7.48s | CPU   0.0% | RAM  58.7%
2026-05-08 07:45:31 | INFO     |     [patents] chunk  138/946 | rows 1,370,001–1,380,000 |  6.81s | CPU   8.3% | RAM  58.7%
2026-05-08 07:45:38 | INFO     |     [patents] chunk  139/946 | rows 1,380,001–1,390,000 |  6.73s | CPU   0.0% | RAM  58.7%
2026-05-08 07:45:45 | INFO     |     [patents] chunk  140/946 | rows 1,390,001–1,400,000 |  6.29s | CPU   0.0% | RAM  58.5%
2026-05-08 07:45:51 | INFO     |     [patents] chunk  141/946 | rows 1,400,001–1,410,000 |  6.53s | CPU  25.0% | RAM  58.5%
2026-05-08 07:45:58 | INFO     |     [patents] chunk  142/946 | rows 1,410,001–1,420,000 |  6.60s | CPU   0.0% | RAM  58.5%
2026-05-08 07:46:04 | INFO     |     [patents] chunk  143/946 | rows 1,420,001–1,430,000 |  6.23s | CPU   9.1% | RAM  58.5%
2026-05-08 07:46:10 | INFO     |     [patents] chunk  144/946 | rows 1,430,001–1,440,000 |  6.28s | CPU   7.7% | RAM  58.4%
2026-05-08 07:46:17 | INFO     |     [patents] chunk  145/946 | rows 1,440,001–1,450,000 |  6.70s | CPU   0.0% | RAM  58.5%
2026-05-08 07:46:25 | INFO     |     [patents] chunk  146/946 | rows 1,450,001–1,460,000 |  7.32s | CPU   0.0% | RAM  58.7%
2026-05-08 07:46:31 | INFO     |     [patents] chunk  147/946 | rows 1,460,001–1,470,000 |  6.59s | CPU  14.3% | RAM  58.7%
2026-05-08 07:46:39 | INFO     |     [patents] chunk  148/946 | rows 1,470,001–1,480,000 |  7.20s | CPU   0.0% | RAM  58.7%
